Oct 23 04:36:52 81.57.34.8 (pid 13122) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:36:56 81.57.34.8 (pid 13153) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:37:07 81.57.34.8 (pid 13399) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:37:49 81.57.34.8 (pid 13746) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:37:59 81.57.34.8 (pid 13830) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:39:10 81.57.34.8 (pid 15489) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:39:16 81.57.34.8 (pid 15535) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:40:00 81.57.34.8 (pid 15870) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:40:28 81.57.34.8 (pid 16531) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 04:44:21 81.57.34.8 (pid 18945) autoriser('crayonner', article, 4, NULL, array('modele'=>texte)
Oct 23 04:46:00 81.57.34.8 (pid 20187) autoriser('crayonner', article, 4, NULL, array('modele'=>texte)
Oct 23 04:46:03 81.57.34.8 (pid 20372) autoriser('crayonner', article, 4, NULL, array('modele'=>texte)
Oct 23 04:46:51 81.57.34.8 (pid 20810) autoriser('crayonner', article, 4, NULL, array('modele'=>texte)
Oct 23 15:13:49 81.57.34.8 (pid 5880) autoriser('crayonner', article, 7, NULL, array('modele'=>texte)
Oct 23 15:14:41 81.57.34.8 (pid 6421) autoriser('crayonner', article, 29, NULL, array('modele'=>texte)
Oct 23 15:15:30 81.57.34.8 (pid 7328) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 23 15:15:36 81.57.34.8 (pid 7411) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 28 18:49:42 81.57.34.8 (pid 19099) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 28 18:49:59 81.57.34.8 (pid 19478) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 28 18:50:14 81.57.34.8 (pid 20180) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 28 18:50:17 81.57.34.8 (pid 20233) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 28 18:50:21 81.57.34.8 (pid 20264) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
Oct 28 19:16:30 90.24.191.165 (pid 14656) autoriser('crayonner', article, 3, NULL, array('modele'=>texte)
